Constellation,Distance,Solar Mass,Solar Radius,Apparent Magnitude,Proper Name,Bayer Designation,Distance.1,Spectral Class,Mass,Radius,Mass (kg),Radius (m),Gravity (m/s^2)
Tucana,192.0,0.018137172,0.1675036899999999,−26.74,Sun, ,0.000015813,G2,1,1,3.6074835108e+28,116532317.13299993,8.57593402228551e+19
Pisces,236.0,0.029592228,0.1479787199999999,−1.46,Sirius,α CMa,8.6,A1,2.1,1.71´,5.8858941492000005e+28,102948795.50399993,1.7928326333509023e+20
Cetus,131.0,0.027683052,0.1469510899999999,−0.74,Canopus,α Car,310,A9,15,71,5.5061590427999995e+28,102233873.31299993,1.7007048961614414e+20
Pisces,28.6,0.040092696,0.0965972199999999,−0.27,Alpha Centauri,α Cen,4.4,G2,1.1,1.2,7.974437234399999e+28,67202685.95399994,5.700285687498727e+20
Cassiopeia,40.0,0.011455056,0.1335918999999999,−0.05,Arcturus,α Boo,37,K2,1.1,26,2.2784106383999997e+28,92939884.82999994,8.515253480091078e+19
Cetus,96.0,0.027683052,0.1469510899999999,0.03,Vega,α Lyr,25,A0,2.2,2.7,5.5061590427999995e+28,102233873.31299993,1.7007048961614414e+20
Cetus,51.0,0.049638576,0.1007077399999999,0.08,Capella,α Aur,43,G8,2.6,12,9.873112766399999e+28,70062374.71799994,6.4931319921422e+20
Phoenix,130.0,0.01909176,0.16544843,0.13,Rigel,β Ori,860,B8,23,78.9,3.797351064e+28,115102472.751,9.252972738547833e+19
Cetus,111.0,0.044865636,0.0996801099999999,0.34,Procyon,α CMi,11.4,F5,1.5,1.9,8.9237750004e+28,69347452.52699994,5.99042214832992e+20
,155.0,0.01909176,0.16647606, 0.45,Betelgeuse,α Ori,640,M2,20,950,3.797351064e+28,115817394.942,9.139091081995823e+19
Fornax,35.0,0.031501404,0.1017353699999999,0.46,Achernar,α Eri,144,B3,6.7,9.3,6.265629255599999e+28,70777296.90899992,4.037816605318162e+20
Aries,12.578,0.07636704,0.1305090099999999,0.61,Hadar,β Cen,390,B1,10.5,8.6,1.5189404256e+29,90795118.25699992,5.948200294026877e+20
Cetus,24.0,0.06204822,0.1952496999999999,0.76,Altair,α Aql,17,A7,1.8,1.8,1.2341390958e+29,135835216.28999993,2.15928115140352e+20
Fornax,45.0,0.046774812,0.0996801099999999,0.76,Acrux,α Cru,320,B0.5,18,8.9,9.3035101068e+28,69347452.52699994,6.245333729109917e+20
,192.0,0.021955524,0.17058658,0.86,Aldebaran,α Tau,65,K5,1.5,44,4.3669537235999995e+28,118677083.70599999,1.0009553357137578e+20
Eridanus,80.0,0.017182584,0.1335918999999999,0.96,Antares,α Sco,600,M1.5,12,680,3.4176159576e+28,92939884.82999994,1.2772880220136617e+20
,27.0,0.069684924,0.10687352,0.97,Spica,α Vir,260,B1,11.43,7.47,1.3860331383599998e+29,74351907.864,8.093925833940727e+20
,88.0,0.070639512,0.10790115,1.14,Pollux,β Gem,34,K0,1.9,8.8,1.40501989368e+29,75066830.055,8.049263796070966e+20
,48.0,0.097367976,0.1305090099999999,1.16,Fomalhaut,α PsA,25,A3,1.9,1.8,1.93664904264e+29,90795118.25699992,7.583955374884268e+20
Eridanus,18.6,0.02863764,0.0976248499999999,1.25,Deneb,α Cyg,"2,600",A2,19,203,5.696026596e+28,67917608.14499994,3.986365202591117e+20
